No.,NAME,V,DIST,Spec,A,V Comp.,Comp. Bright. Frac,Use Spec,Interim Albedos,Rp / R_J,HD
46,* alf CMi,0.37,3.5,F5IV-V+DQZ,3.00,10.8,0.00,f5v,0.25,0.65,
47,* eps Ind,4.69,3.6,K5V,3.00,99.0,0.00,k5v,0.25,0.65,
48,* tau Cet,3.50,3.7,G8.5V,3.00,99.0,0.00,k0v,0.25,0.65,
49,HD  88230,6.61,4.9,K8V,3.00,99.0,0.00,k5v,0.25,0.65,
50,* omi02 Eri,4.43,5.0,K0.5V,3.00,11.5,0.00,k0v,0.25,0.65,
51,*  70 Oph A,4.12,5.1,K0-V,3.00,6.2,0.15,k0v,0.25,0.65,
52,*  70 Oph B,6.17,5.1,K4V,3.00,4.1,6.61,k5v,0.25,0.65,
53,*  36 Oph A,5.12,5.5,K2V,3.00,5.1,1.04,k0v,0.25,0.65,
54,*  36 Oph B,5.08,6.0,K1V,3.00,5.1,0.96,k0v,0.25,0.65,
55,* sig Dra,4.68,5.8,G9V,3.00,21.7,0.00,k0v,0.25,0.65,
56,HD 131977,5.72,5.8,K4V,3.00,9.8,0.02,k5v,0.25,0.65,
57,* eta Cas A,3.52,6.0,G0V,3.00,7.5,0.03,k0v,0.25,0.65,
58,* eta Cas B,7.51,6.0,K7Ve,3.00,3.5,39.81,k5v,0.25,0.65,
59,V* V2215 Oph,6.34,6.0,K5V,3.00,99.0,0.00,k5v,0.25,0.65,
60,HD 191408,5.32,6.0,K2.5V,3.00,11.5,0.00,k0v,0.25,0.65,
61,* e Eri,4.27,6.0,G8III,3.00,99.0,0.00,k0v,0.25,0.65,
62,* del Pav,3.56,6.1,G8IV,3.00,99.0,0.00,k0v,0.25,0.65,
63,HR  8832,5.57,6.5,K3V,3.00,13.2,0.00,k5v,0.25,0.65,
64,* ksi Boo B,6.82,6.7,K5Ve,3.00,4.7,7.02,k5v,0.25,0.65,
65,* ksi Boo A,4.68,6.7,G7Ve,3.00,6.8,0.14,g5v,0.25,0.65,
66,* p Eri A,5.96,6.8,K2V,3.00,5.9,1.06,k0v,0.25,0.65,
67,HD 156384A,5.89,6.8,K3V,3.00,7.4,0.25,k5v,0.25,0.65,
68,HD 156384B,7.38,6.8,K5V,3.00,5.9,3.94,k5v,0.25,0.65,
69,HD  16160,5.83,7.2,K3V,3.00,16.8,0.00,k5v,0.25,0.65,
70,HD   4628,5.74,7.5,K2.5V,3.00,99.0,0.00,k0v,0.25,0.65,
71,* bet Hyi,2.79,7.5,G0V,3.00,99.0,0.00,g0v,0.25,0.65,
72,* 107 Psc,5.24,7.5,K1V,3.00,11.7,0.00,k0v,0.25,0.65,
73,* mu. Cas,5.17,7.6,K1V_Fe-2,3.00,10.7,0.01,k0v,0.25,0.65,
74,V* TW PsA,6.48,7.6,K4V,3.00,24.6,0.00,k5v,0.25,0.65,
75,* p Eri A,5.79,7.8,K2V,3.00,6.0,0.86,k0v,0.25,0.65,
76,*p Eri B,5.96,7.8,K2V,3.00,5.8,1.17,k0v,0.25,0.65,
77,* chi Dra A,3.58,8.1,F7V,3.00,5.7,0.14,f5v,0.25,0.65,
78,* chi Dra B,3.58,8.1,K0V,3.00,4.1,0.64,k0v,0.25,0.65,
79,* pi.03 Ori,3.19,8.1,F6V,3.00,13.1,0.00,f5v,0.25,0.65,
80,HD 217357,7.87,8.2,K7+Vk,3.00,99.0,0.00,k5v,0.25,0.65,
81,* mu. Her,3.42,8.3,G5IV,3.00,10.7,0.00,g5v,0.25,0.65,
82,* bet CVn,4.25,8.4,G0V,3.00,99.0,0.00,k0v,0.25,0.65,
83,*  61 Vir,4.74,8.6,G7V,3.00,99.0,0.00,g5v,0.25,0.65,
84,HD  32450A,8.32,8.6,K7V,3.00,10.6,0.12,k5v,0.25,0.65,
85,* zet Tuc,4.23,8.6,F9.5V,3.00,99.0,0.00,g0v,0.25,0.65,
86,* chi01 Ori,4.40,8.7,G0VCH+M,3.00,7.5,0.06,g0v,0.25,0.65,
87,HR 1614,6.21,8.7,K3+V,3.00,99.0,0.00,k0v,0.25,0.65,
88,HD  50281,6.57,8.7,K3.5V,3.00,11.1,0.02,k5v,0.25,0.65,
89,* ksi UMa B,4.73,8.8,G2V,3.00,4.8,0.94,g0v,0.25,0.65,
90,HD 192310,5.72,8.9,K2+V,3.00,99.0,0.00,k0v,0.25,0.65,
91,* gam Lep A,3.60,8.9,F6V,3.00,99.0,0.00,f5v,0.25,0.65,
92,* gam Lep B,6.28,8.9,K2 V,3.00,99.0,0.00,k0v,0.25,0.65,
93,* del Eri,3.54,9.0,K0+IV,3.00,99.0,0.00,k0v,0.25,0.65,
94,HD 103095,6.45,9.1,K1V_Fe-1.5,3.00,99.0,0.00,k0v,0.25,0.65,
95,* bet Com,4.25,9.1,F9.5V,3.00,99.0,0.00,g0v,0.25,0.65,
96,* kap01 Cet,4.85,9.1,G5V,3.00,99.0,0.00,g5v,0.25,0.65,
97,HD 102365,4.88,9.2,G2V,3.00,15.4,0.00,g0v,0.25,0.65,
98,* gam Pav,4.22,9.3,F9VFe-1.4CH-0.7,3.00,99.0,0.00,g0v,0.25,0.65,
99,HD 100623,5.98,9.6,K0V,3.00,14.9,0.00,k0v,0.25,0.65,
100,*  61 UMa,5.34,9.6,G8V,3.00,99.0,0.00,k0v,0.25,0.65,
101,HD 156344 A,8.23,9.7,K2V,3.00,11.2,0.07,k0v,0.25,0.65,
102,HD 156344 B,11.17,9.7,F0IV,3.00,8.2,14.98,f0v,0.25,0.65,
103,*  12 Oph,5.77,9.8,K1V,3.00,99.0,0.00,k0v,0.25,0.65,
104,HD 151288,8.80,9.8,K7V,3.00,99.0,0.00,k5v,0.25,0.65,
